"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUN2023.CR1","35560","Biomet"
"LINE","SECONDS","NANOSECONDS","RECORD","SWIN_1_1_1","SWOUT_1_1_1","LWIN_1_1_1","LWOUT_1_1_1","PPFD_1_1_1","PPFD_2_1_1","RN_1_1_1","RG_6_4_1_1_1","SWDIF_1_1_1","TC_1_1_1","PA_1_1_1","P_RAIN_1_1_1","VIN_1_1_1","T_CRN4_1_1_1","TA_1_1_1","TA_2_1_1_2_1","TA_1_3_1","TA_1_4_1","TA_1_5_1","TA_1_6_1","RH_1_1_1","RH_1_2_1","RH_1_3_1","RH_1_4_1","RH_1_5_1","RH_1_6_1","WS_1_1_1","WD_1_1_1","WS_1_2_1","WS_1_3_1","WS_1_4_1","WD_1_4_1"
"LN","SECONDS","NANOSECONDS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","m/s","Deg","m/s","m/s","m/s","Deg"
"","","","","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Tot:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","WVc:","WVc:","Avg:","Avg:","WVc:","WVc:"
1,1056585600,0,3402,"NAN",0.505968,0,0,0,0.0336236,"NAN",-195.904,115.017,24.3942,999.607,0,0,-241.796,26.1775,60.5461,26.0921,24.4369,24.5392,24.4369,86.6894,67.1843,87.8498,91.0836,93.157,99.2491,2.42,104,0,0,0,0
2,1056585660,0,3403,"NAN",0.505967,0,0,0,0.0336236,"NAN",-212.969,58.3618,24.5563,999.403,0,0,-241.787,26.186,60.5034,26.1433,24.4283,24.5136,24.4454,86.8174,67.1331,87.9181,91.0751,93.3276,99.2491,2.42,104,0,0,0,0
3,1056585720,0,3404,"NAN",0.505967,0,0,0,0.0336235,"NAN",-198.635,78.6689,24.3686,999.771,0,0,-241.787,26.1263,60.93,26.1433,24.4113,24.5136,24.4113,86.8174,67.3891,88.0205,91.0921,93.3874,99.2406,2.595,103,0,0,0,0
4,1056585780,0,3405,"NAN",0.505967,0,0,0,0.0336236,"NAN",-206.485,62.7986,24.3515,999.567,0,0,-241.787,26.1775,60.3328,26.1433,24.4113,24.5307,24.4369,86.7833,67.2099,88.1229,91.1007,93.2423,99.2406,2.72,103,0,0,0,0
5,1056585840,0,3406,"NAN",0.505972,0,0,0,0.0336239,"NAN",-202.048,63.9932,24.343,999.346,0,0,-241.787,26.1433,59.6075,26.0751,24.4027,24.4966,24.4027,86.5956,67.0392,88.2594,91.1604,93.1314,99.2321,2.765,103.5,0,0,0,0
6,1056585900,0,3407,"NAN",0.505974,0,0,0,0.033624,"NAN",-210.58,71.1604,24.4027,999.347,0,0,-241.796,26.1519,59.9659,26.041,24.4027,24.4966,24.4027,86.6126,67.0819,88.2252,91.2287,93.0802,99.2491,2.56,106.5,0,0,0,0
7,1056585960,0,3408,"NAN",0.505976,0,0,0,0.0336241,"NAN",-203.584,89.9317,24.2662,999.513,0,0,-241.796,26.1689,60.0171,26.0751,24.3857,24.4966,24.4198,86.6382,67.1331,88.2935,91.2713,93.1997,99.2491,2.47,107,0,0,0,0
8,1056586020,0,3409,"NAN",0.505982,0,0,0,0.0336246,"NAN",-193.174,96.2457,24.2321,999.556,0,0,-241.796,26.186,59.9829,26.058,24.343,24.5136,24.4283,86.5956,67.1502,88.3276,91.3311,93.3191,99.2406,2.615,104,0,0,0,0
