"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUN2023.CR1","35560","RadSensors"
"LINE","SECONDS","NANOSECONDS","RECORD","Incoming_SW_2_Avg","Outgoing_SW_2_Avg","Incoming_LW_2_Avg","Outgoing_LW_2_Avg","NetSW_2_Avg","NetLW_2_Avg","Net_radiation_2_Avg","mV_LWin_2_Avg","sensorbody_temp_in_LW_2_Avg","mV_LWout_2_Avg","sensorbody_temp_out_LW_2_Avg","albedo_2_Avg"
"LN","SECONDS","NANOSECONDS","RN","","","","","","","","","","","",""
"","","","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
1,1056585600,0,3402,-2.155,0,394.49,451.545,-2.24,-56.98,-59.22,-6.404,25.48,-0.457,26.06,0.008
2,1056585660,0,3403,-2.145,-0.005,394.515,451.385,-1.97,-56.98,-58.95,-6.398,25.46,-0.457,26.05,0.004
3,1056585720,0,3404,-2.135,-0.005,394.82,451.48,-2.2,-56.72,-58.92,-6.335,25.43,-0.414,26.01,0.004
4,1056585780,0,3405,-1.945,0,395.105,451.58,-2.02,-56.65,-58.67,-6.281,25.44,-0.36,26.01,-0.004
5,1056585840,0,3406,-1.945,0,395.33,451.77,-1.92,-56.45,-58.37,-6.278,25.45,-0.379,26.02,0
6,1056585900,0,3407,-1.925,-0.005,395.205,451.735,-2.03,-56.62,-58.65,-6.261,25.47,-0.345,26.04,-0.004
7,1056585960,0,3408,-1.89,-0.005,395.175,451.57,-1.79,-56.57,-58.36,-6.341,25.48,-0.44,26.05,-0.005
8,1056586020,0,3409,-1.95,0,395.42,451.69,-1.95,-56.3,-58.25,-6.269,25.47,-0.391,26.04,0
9,1056586080,0,3410,-1.93,0.01,395.54,451.87,-1.91,-56.32,-58.23,-6.262,25.48,-0.377,26.06,-0.004
10,1056586140,0,3411,-1.85,0,395.57,451.7,-1.84,-56.2,-58.03,-6.267,25.49,-0.399,26.07,-0.004
11,1056586200,0,3412,-1.91,0,395.57,451.62,-1.9,-56.07,-57.98,-6.269,25.49,-0.412,26.07,0
12,1056586260,0,3413,-1.95,0,395.41,451.41,-1.93,-56.03,-57.96,-6.272,25.47,-0.42,26.04,0.004
13,1056586320,0,3414,-2.02,0,395.56,451.65,-2,-56.11,-58.11,-6.251,25.46,-0.393,26.04,0
14,1056586380,0,3415,-2,0.01,395.69,451.85,-2,-56.2,-58.2,-6.249,25.47,-0.371,26.04,0.004
15,1056586440,0,3416,-1.95,0,395.27,451.4,-1.95,-56.09,-58.04,-6.278,25.46,-0.414,26.04,0.004
16,1056586500,0,3417,-2,0.01,395.74,451.89,-1.97,-56.23,-58.21,-6.233,25.47,-0.358,26.04,-0.004
17,1056586560,0,3418,-1.76,0.01,395.76,452.07,-1.85,-56.43,-58.27,-6.245,25.49,-0.347,26.07,-0.004
18,1056586620,0,3419,-1.93,0.01,395.62,451.95,-1.93,-56.36,-58.29,-6.272,25.5,-0.374,26.08,-0.004
19,1056586680,0,3420,-1.85,0.01,395.49,452.04,-1.84,-56.53,-58.37,-6.295,25.52,-0.389,26.1,0
20,1056586740,0,3421,-1.93,0,395.48,452.13,-1.93,-56.61,-58.54,-6.311,25.54,-0.401,26.11,-0.004
21,1056586800,0,3422,-1.93,-0.01,395.38,451.96,-1.93,-56.63,-58.56,-6.315,25.53,-0.392,26.11,0.004
22,1056586860,0,3423,-1.97,0,395.42,452.39,-1.97,-56.95,-58.92,-6.329,25.55,-0.372,26.12,-0.004
23,1056586920,0,3424,-1.95,0,395.36,452.26,-1.93,-56.93,-58.86,-6.334,25.56,-0.386,26.13,0
24,1056586980,0,3425,-2,0,395.4,452.36,-1.99,-57.01,-58.99,-6.341,25.57,-0.384,26.15,0
25,1056587040,0,3426,-1.95,0,395.46,452.31,-1.95,-56.87,-58.82,-6.334,25.58,-0.399,26.15,0
26,1056587100,0,3427,-2.08,-0.01,395.29,452.13,-2.04,-56.87,-58.91,-6.346,25.57,-0.403,26.15,0.004
27,1056587160,0,3428,-2.06,-0.01,395.12,452.13,-2.04,-56.93,-58.96,-6.363,25.56,-0.408,26.14,0.004
28,1056587220,0,3429,-2.1,-0.01,394.99,451.91,-2.07,-56.95,-59.02,-6.368,25.55,-0.416,26.13,0
29,1056587280,0,3430,-2.08,-0.01,394.93,452.12,-2.06,-57.18,-59.24,-6.365,25.55,-0.391,26.13,0
30,1056587340,0,3431,-1.91,0,394.5,452.05,-1.88,-57.58,-59.46,-6.424,25.56,-0.409,26.14,0
31,1056587400,0,3432,-2.08,0,394.03,451.51,-2.09,-57.45,-59.54,-6.453,25.53,-0.449,26.11,0.004
32,1056587460,0,3433,-1.995,0,394.56,452.08,-2.16,-57.63,-59.8,-6.387,25.52,-0.358,26.1,0
33,1056587520,0,3434,-1.935,0,394.44,451.98,-1.82,-57.58,-59.4,-6.433,25.55,-0.418,26.13,-0.004
34,1056587580,0,3435,-2.06,0,394.565,451.995,-2.07,-57.54,-59.61,-6.402,25.55,-0.381,26.13,0
35,1056587640,0,3436,-2.015,0,394.525,452,-2.03,-57.42,-59.45,-6.416,25.55,-0.414,26.13,0.004
36,1056587700,0,3437,-2.035,-0.005,394.54,451.94,-1.91,-57.49,-59.4,-6.422,25.56,-0.415,26.14,0
37,1056587760,0,3438,-2.025,-0.005,394.51,451.83,-2.16,-57.24,-59.39,-6.407,25.54,-0.421,26.12,0.004
38,1056587820,0,3439,-1.94,0,394.435,451.945,-1.92,-57.36,-59.28,-6.436,25.56,-0.448,26.13,0
39,1056587880,0,3440,-1.95,0,394.44,452.02,-1.98,-57.57,-59.55,-6.437,25.56,-0.417,26.14,-0.004
40,1056587940,0,3441,-1.97,0,394.46,452,-2,-57.61,-59.61,-6.44,25.57,-0.426,26.15,0.004
41,1056588000,0,3442,-2,0,394.47,451.99,-1.97,-57.62,-59.6,-6.449,25.57,-0.43,26.16,0
42,1056588060,0,3443,-1.89,0.01,394.65,452.37,-1.89,-57.71,-59.61,-6.437,25.59,-0.404,26.18,0
43,1056588120,0,3444,-1.91,0,394.36,452.02,-1.88,-57.68,-59.56,-6.474,25.61,-0.451,26.2,0
44,1056588180,0,3445,-2,-0.01,394.58,452.1,-2.1,-57.54,-59.64,-6.423,25.62,-0.402,26.21,-0.004
45,1056588240,0,3446,-1.87,0,394.6,452.54,-1.9,-58,-59.9,-6.49,25.66,-0.433,26.25,0
46,1056588300,0,3447,-1.97,0.01,394.54,452.27,-1.97,-57.71,-59.68,-6.486,25.66,-0.46,26.25,-0.004
47,1056588360,0,3448,-1.95,0.01,394.41,451.95,-1.94,-57.58,-59.52,-6.506,25.65,-0.489,26.25,0.004
48,1056588420,0,3449,-2.02,0,394.81,452.67,-1.97,-57.89,-59.86,-6.477,25.67,-0.428,26.26,0
49,1056588480,0,3450,-1.81,0,394.3,452.18,-1.83,-57.9,-59.72,-6.529,25.69,-0.486,26.27,0.004
50,1056588540,0,3451,-1.97,0,394.63,452.25,-2,-57.81,-59.8,-6.491,25.68,-0.454,26.27,0
51,1056588600,0,3452,-1.95,0,394.12,451.98,-1.93,-57.94,-59.88,-6.558,25.68,-0.501,26.26,0.004
52,1056588660,0,3453,-2.04,0,394.1,452.1,-2.02,-57.99,-60.01,-6.542,25.67,-0.489,26.25,0
53,1056588720,0,3454,-1.95,0.01,393.81,451.84,-1.95,-58.02,-59.97,-6.572,25.66,-0.507,26.24,0
54,1056588780,0,3455,-2.18,-0.01,393.68,451.22,-2.16,-57.64,-59.8,-6.526,25.61,-0.49,26.19,0.004
55,1056588840,0,3456,-1.95,0,393.66,451.55,-1.95,-57.93,-59.89,-6.542,25.61,-0.486,26.2,0.004
56,1056588900,0,3457,-2.06,0,393.81,451.77,-2.1,-57.98,-60.08,-6.536,25.61,-0.477,26.19,0
57,1056588960,0,3458,-2.02,0,393.74,451.98,-2.05,-58.26,-60.31,-6.559,25.62,-0.47,26.2,0
58,1056589020,0,3459,-2.12,-0.01,393.35,451.35,-2.11,-58.08,-60.19,-6.584,25.59,-0.51,26.16,0.004
59,1056589080,0,3460,-2.14,0,393.17,451.37,-2.12,-58.21,-60.33,-6.564,25.57,-0.472,26.15,0
60,1056589140,0,3461,-2.12,0,393.37,451.12,-2.1,-57.67,-59.77,-6.495,25.56,-0.467,26.14,0
61,1056589200,0,3462,-1.88,0.01,393.355,452.1,-1.84,-58.78,-60.61,-6.555,25.65,-0.435,26.22,-0.005
62,1056589260,0,3463,-2.215,-0.005,392.935,451.195,-1.87,-58.56,-60.43,-6.669,25.64,-0.546,26.21,0.004
63,1056589320,0,3464,-2.29,0.005,393.455,451.57,-2.53,-57.77,-60.31,-6.565,25.56,-0.522,26.13,0
64,1056589380,0,3465,-1.965,0.01,393.57,452.06,-2.02,-58.46,-60.48,-6.512,25.59,-0.39,26.16,-0.004
65,1056589440,0,3466,-1.91,0,393.4,452.02,-1.91,-58.65,-60.56,-6.593,25.62,-0.471,26.19,0
66,1056589500,0,3467,-2.02,-0.02,392.97,450.84,-2.04,-57.94,-59.98,-6.607,25.58,-0.56,26.16,0
67,1056589560,0,3468,-2.18,0.01,393.46,451.31,-2.2,-57.87,-60.07,-6.539,25.56,-0.492,26.14,0.004
68,1056589620,0,3469,-2.02,0,393.39,451.18,-2.04,-57.78,-59.82,-6.547,25.56,-0.514,26.14,0.004
69,1056589680,0,3470,-2,-0.01,393.39,451.15,-2.04,-57.82,-59.86,-6.521,25.56,-0.492,26.14,-0.004
70,1056589740,0,3471,-2.08,-0.01,393.22,451.16,-2.1,-57.92,-60.02,-6.551,25.56,-0.515,26.14,0
71,1056589800,0,3472,-2.16,-0.01,393.16,450.63,-2.16,-57.38,-59.55,-6.535,25.53,-0.538,26.11,0
