"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUN2023.CR1","35560","Solo"
"LINE","SECONDS","NANOSECONDS","RECORD","flx_solo_Avg","flx_solo2_Avg","Uso_10cm_Avg","ECCs650_10cm_Avg","TempSCs650_10cm_Avg","PermCs650_10cm_Avg","PerAvgCs650_10cm_Avg","VoltRCs650_10cm_Avg","Uso_20cm_Avg","ECCs650_20cm_Avg","TempSCs650_20cm_Avg","PermCs650_20cm_Avg","PerAvgCs650_20cm_Avg","VoltRCs650_20cm_Avg","Uso_30cm_Avg","ECCs650_30cm_Avg","TempSCs650_30cm_Avg","PermCs650_30cm_Avg","PerAvgCs650_30cm_Avg","VoltRCs650_30cm_Avg","Uso_40cm_Avg","ECCs650_40cm_Avg","TempSCs650_40cm_Avg","PermCs650_40cm_Avg","PerAvgCs650_40cm_Avg","VoltRCs650_40cm_Avg","Uso_60cm_Avg","ECCs650_60cm_Avg","TempSCs650_60cm_Avg","PermCs650_60cm_Avg","PerAvgCs650_60cm_Avg","VoltRCs650_60cm_Avg","Uso_100cm_Avg","ECCs650_100cm_Avg","TempSCs650_100cm_Avg","PermCs650_100cm_Avg","PerAvgCs650_100cm_Avg","VoltRCs650_100cm_Avg"
"LN","SECONDS","NANOSECONDS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
1,1056585600,0,340,"NAN",79.07,0.4044,0.03127,25.8718,25.4091,3.5988,1.09402,0.39138,0.01782,25.7518,24.0944,3.54614,1.05252,0.3706,0.0147,25.6059,22.1466,3.4507,1.04322,0.3277,0.00623,25.6232,18.6151,3.2518,1.01868,0.3398,0.00618,25.4635,19.5503,3.2982,1.01893,0.3818,0.01124,25.4724,23.1735,3.5253,1.03314
2,1056586200,0,341,"NAN",72.34,0.40426,0.03127,25.862,25.3929,3.59803,1.09398,0.3913,0.01788,25.7431,24.0853,3.5457,1.0527,0.3706,0.01474,25.6101,22.1465,3.4507,1.04334,0.3277,0.00623,25.6154,18.6151,3.2518,1.01867,0.3398,0.00615,25.4629,19.5504,3.2982,1.01885,0.3818,0.0112,25.4786,23.1736,3.5253,1.03307
3,1056586800,0,342,"NAN",102.1,0.4042,0.03115,25.8587,25.3862,3.5977,1.09365,0.3913,0.01786,25.7526,24.0854,3.5457,1.05265,0.3706,0.01473,25.6112,22.1465,3.4507,1.04331,0.3277,0.00628,25.6143,18.615,3.2518,1.01874,0.3398,0.00618,25.4649,19.5502,3.2982,1.01898,0.3818,0.01124,25.4749,23.1735,3.5253,1.03312
4,1056587400,0,343,"NAN",94.9,0.4042,0.03127,25.8559,25.3859,3.5977,1.09402,0.3913,0.01786,25.7515,24.0854,3.5457,1.05265,0.3706,0.01475,25.6198,22.1464,3.4507,1.04341,0.3277,0.00627,25.6179,18.6149,3.2518,1.01879,0.3398,0.00615,25.4794,19.5504,3.2982,1.01883,0.3818,0.01116,25.4733,23.1737,3.5253,1.03294
5,1056588000,0,344,"NAN",87.7,0.4042,0.03118,25.8489,25.3861,3.5977,1.09373,0.3913,0.01784,25.7535,24.0854,3.5457,1.05258,0.3706,0.01472,25.6112,22.1465,3.4507,1.04332,0.3277,0.00619,25.6246,18.6154,3.2518,1.0185,0.3398,0.00616,25.4733,19.5504,3.2982,1.01885,0.3818,0.0112,25.4749,23.1736,3.5253,1.03307
6,1056588600,0,345,"NAN",93.5,0.4042,0.03124,25.8416,25.386,3.5977,1.09391,0.3913,0.01779,25.7498,24.0855,3.5457,1.05243,0.3706,0.0147,25.6196,22.1466,3.4507,1.04322,0.3277,0.00624,25.621,18.6151,3.2518,1.01864,0.3398,0.00619,25.4727,19.5503,3.2982,1.01893,0.3818,0.01118,25.4708,23.1736,3.5253,1.03303
7,1056589200,0,346,"NAN",97.2,0.4042,0.03124,25.8435,25.3859,3.5977,1.09393,0.3913,0.0178,25.7515,24.0855,3.5457,1.0525,0.3706,0.01471,25.6137,22.1466,3.4507,1.04325,0.3277,0.00626,25.6224,18.615,3.2518,1.0187,0.3398,0.00615,25.4724,19.5503,3.2982,1.01885,0.3818,0.01127,25.4744,23.1735,3.5253,1.03322
8,1056589800,0,347,"NAN",81.1,0.4042,0.03119,25.8313,25.386,3.5977,1.09378,0.3913,0.0178,25.7552,24.0855,3.5457,1.05247,0.3706,0.01468,25.6215,22.1467,3.4507,1.04317,0.3277,0.00615,25.6291,18.6155,3.2518,1.01846,0.33977,0.00615,25.4632,19.5484,3.29808,1.01884,0.3818,0.01125,25.4774,23.1735,3.5253,1.03321
