"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUN2023.CR1","35560","meteo"
"LINE","SECONDS","NANOSECONDS","RECORD","SWIN_1_1_1","SWOUT_1_1_1","LWIN_1_1_1","LWOUT_1_1_1","PPFD_1_1_1","PPFD_2_1_1","RN_1_1_1","RG_1_1_1","SWDIF_1_1_1","TC_1_1_1","PA_1_1_1","P_RAIN_8_19_1_1_1","VIN_1_1_1","T_CRN4_1_1_1","TA_1_1_1","TA_1_2_1","TA_1_3_1","TA_2_1_1_4_1","TA_2_1_1_5_1","TA_1_6_1","RH_1_1_1","RH_1_2_1","RH_1_3_1","RH_1_4_1","RH_1_5_1","RH_1_6_1","WS_1_1_1","WD_1_1_1","WS_1_2_1","WS_1_3_1","WS_1_4_1","WD_1_4_1","H2O_1_2_1","H2O_99_99_1_3_1","H2O_1_4_1","H2O_1_5_1","H2O_1_6_1","H2O_1_7_1","CO2_1_2_1","CO2_1_3_1","CO2_1_4_1","CO2_1_5_1","CO2_1_6_1","CO2_1_7_1"
"LN","SECONDS","NANOSECONDS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","m/s","Deg","m/s","m/s","m/s","Deg","","","","","","","","","","","",""
"","","","","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Tot:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","WVc:","WVc:","Avg:","Avg:","WVc:","WVc:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:"
1,1056585600,0,113,"NAN",0.505961,0,0,0,0.0336232,"NAN",-185.495,110.364,24.3185,999.749,0,0,-241.791,26.2169,60.842,26.1291,24.4791,24.6003,24.4862,86.7447,67.3745,88.2941,91.1736,93.6201,99.2458,2.6945,101.417,0,0,0,0,1.68464,0.265939,0.182935,0.252833,0.186212,0.135427,385.099,378.253,407.536,390.068,396.56,403.119
2,1056587400,0,114,"NAN",0.50598,0,0,0,0.0333442,"NAN",-190.597,109.107,24.333,999.449,0,0,-241.789,26.1857,60.271,26.1752,24.3006,24.5119,24.4229,86.4613,67.2452,87.3458,91.3609,93.149,99.2423,2.44633,104.634,0,0,0,0,1.42635,0.499113,0.123413,0.0469625,0.036041,0.0256655,385.352,377.208,388.908,387.113,394.396,397.113
3,1056589200,0,115,"NAN",0.505973,0,0,0,0.0319427,"NAN",-190.307,109.033,24.1527,999.145,0,0,-241.789,26.3402,60.1948,26.281,24.223,24.4616,24.3552,84.9277,66.7619,86.2389,91.252,93.5927,99.2483,2.50967,102.15,0,0,0,0,1.14403,0.449966,-0.000546077,0.0256655,-0.0251195,0.0682594,382.068,376.464,403.372,386.027,396.874,403.249
4,1056591000,0,116,"NAN",0.505967,0,0,0,0.0294206,"NAN",-191.78,110.313,24.0208,998.87,0,0,-241.789,26.3242,59.0719,26.1064,24.1513,24.2267,24.1004,84.4903,66.4932,87.054,91.8567,94.147,99.2477,3.0305,95.1632,0,0,0,0,0.887918,0.154539,-0.0808191,-0.140887,-0.25884,-0.29215,383.126,376.068,397.222,390.218,427.706,441.461
5,1056592800,0,117,"NAN",0.501766,0,0,0,0.0305423,"NAN",-203.402,111.542,24.1763,998.824,0,0,-241.791,26.2639,60.0836,26.0637,24.2588,24.0609,23.9835,84.252,66.9451,86.4647,90.7161,95.1359,99.2565,3.02467,98.1818,0,0,0,0,1.14567,-0.166553,-0.394812,-0.299795,-0.325461,-0.396997,385.549,377.024,441.27,394.068,421.195,429.222
6,1056594600,0,118,"NAN",0.50178,0,0,0,0.0232576,"NAN",-194.42,109.238,24.2733,998.722,0,0,-241.79,26.2059,60.9198,26.0466,24.3936,24.0737,23.9704,84.1044,67.1783,86.2577,89.4576,94.7278,99.2619,3.1025,98.0633,0,0,0,0,1.16915,-0.0316724,-0.310717,-0.234266,-0.341843,-0.309625,386.055,376.512,400.171,390.41,411.072,422.28
7,1056596400,0,119,"NAN",0.501779,0,0,0,0.0229774,"NAN",-199.334,106.775,24.1687,998.463,0,0,-241.789,26.1064,58.7986,25.7321,24.3296,24.1277,24.0091,84.0128,66.4448,87.4687,89.4698,94.2466,99.2545,2.8095,97.3011,0,0,0,0,0.81256,-0.0862799,-0.291604,-0.395904,-0.411195,-0.389352,385.133,377.993,404.369,392.055,400.819,411.208
8,1056598200,0,120,"NAN",0.501772,0,0,0,0.0263396,"NAN",-221.104,106.28,24.3865,998.674,0,0,-241.789,26.0196,57.2116,25.8629,24.3148,24.1667,24.0011,84.122,65.5973,86.2099,89.0648,94.2898,99.2471,2.09383,85.4472,0,0,0,0,0.696792,-0.11686,-0.395904,-0.338567,-0.448328,-0.407372,389.092,377.188,418.307,395.829,434.519,424.451
